,Comment,Result
0,RT accurately 90 of media coverage of my Administration is negative despite the tremendously positive results we ar,positive
1,RT 21 The only people who d know if Trump was on speakerphone that day are Russian agents who wouldn t talk for fear of re,neutral
2,RT A few weeks ago I took my son to Chuck E Cheese When we walked in they stamped my hand and my child s hand with matchin,negative
3,RT I am a Christian American I believe in God Country Family Married I support and respect our military veterans,positive
4,RT Team Trump is looking to get ahead of the next jobs crisis,neutral
5,RT Trump on tweeting rampage is just what I expect desperate attempt to destroy credibility of Mueller news media and any,negative
6,RT Mr Trump get ready We are coming for your Emoluments Including those in rubles,positive
7,RT Hugging a child Rep John Lewis vows action to stop practice of family separation Just tell me whatever you want me to do I w,positive
8,RT osc This is your fault You are just as guilty as Trump Ignoring Treason is Treasonous,negative
9,RT 3C 3 FBI knows it wasnt a HACK CIA knows it wasnt a HACK DOJ knows it wasnt a HACK DNC knows it wasnt a HACK Media knows it wasnt a,neutral
10,RT Uh what Sam told me 2 days ago that Trump would ve been told about the meeting because of his prior relationship,neutral
11,RT After Donald Trump resigns or is impeached America will remember the names of every Republican who enabled his treach,neutral
12,Trump Train,neutral
13,RT Trump Deleted Whole Families In His Mad Scheme Of Hate,negative
14,RT Tom Homan fmr ICE Director There is nobody that has done more for border security amp public safety than President Tr,positive
15,RT This is Trump again siding with Putin over the United States Any patriotic American president would b,neutral
16,RT 22 Given Trump s penchant for burning bridges with people he needs look at what he s done to Cohen and given that Jr ha,neutral
17,RT There are 28 of Trump supporters that trust what Trump tells them is accurate but do not trust what their own family a,positive
18,RT Today Trump held his first national security council principals meeting since becoming president some 500 days ago this is,positive
19,RT s hartley mick Let s try t,neutral
20,RT Here is an example of a Trump Supporter Creep,neutral
21,RT A Trump supporter on Twitter was saying to me that America hadn t had any school shootings in a while and that Trump must,neutral
22,RT Don t retweet this photo I found of Trump welcoming Russian Dr Mikhail Piotrovsky to Mar a Lago for an event Trump threw for,neutral
23,Barack Obama did it on a larger scale where was joysvreporting then,neutral
24,RT Now is the time to investigate the REAL collusion scandal The collusion between the Clinton team Brennan foreign intellige,positive
25,RT trump The Left are such weaklings It s alarming how frail they are This is MSM amp DemocratParty fault They ve been feeding t,negative
26,It s funny to see idiots being just idiots People uneducated enough to don t know anything about,negative
